Symbol,Name,数据类型,寄存器,地址,归档,量程,报警类型,报警,函数,函数参数,依赖,DriverID,IOType,GroupID,功能码,字节序
COD_报警,报警,USHORT,WORD,d:4;a:3;r:4229;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_故障,故障,USHORT,WORD,d:4;a:3;r:4230;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_子流程Ext,子流程Ext,USHORT,WORD,d:4;a:3;r:4231;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_软件版本,软件版本,USHORT,WORD,d:4;a:3;r:4232;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_测量间隔,测量间隔,USHORT,WORD,d:4;a:3;r:4233;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_零点核查间隔,零点核查间隔,USHORT,WORD,d:4;a:3;r:4234;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_跨度核查间隔,跨度核查间隔,USHORT,WORD,d:4;a:3;r:4235;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_标样核查间隔,标样核查间隔,USHORT,WORD,d:4;a:3;r:4236;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_消解池实时温度,消解池实时温度,FLOAT,WORD,d:4;a:3;r:4237;l:2,TRUE,,NONE,,NONE,,,19,IN,40,,1032
COD_混样池实时温度,混样池实时温度,FLOAT,WORD,d:4;a:3;r:4239;l:2,TRUE,,NONE,,NONE,,,19,IN,40,,1032
COD_板卡温度,板卡温度,FLOAT,WORD,d:4;a:3;r:4241;l:2,TRUE,,NONE,,NONE,,,19,IN,40,,1032
COD_测量精度,测量精度,USHORT,WORD,d:4;a:3;r:4256;l:1,TRUE,,NONE,,NONE,,,19,IN,400,,
COD_消解温度,消解温度,USHORT,WORD,d:4;a:3;r:4257;l:1,TRUE,,NONE,,NONE,,,19,IN,400,,
COD_消解时长,消解时长,USHORT,WORD,d:4;a:3;r:4258;l:1,TRUE,,NONE,,NONE,,,19,IN,400,,
COD_量程下限,量程下限,FLOAT,WORD,d:4;a:3;r:4259;l:2,TRUE,,NONE,,NONE,,,19,IN,400,,1032
COD_量程上限,量程上限,FLOAT,WORD,d:4;a:3;r:4261;l:2,TRUE,,NONE,,NONE,,,19,IN,400,,1032
COD_曲线斜率k,曲线斜率k,FLOAT,WORD,d:4;a:3;r:4263;l:2,TRUE,,NONE,,NONE,,,19,IN,400,,1032
